CustomerID,Channel,Time_Of_Day,Day_Of_Week,Campaign_Id,Product_LOB,Conversion_Flag,Source,Time_Stamp,Comm_Id
ID00000645,Email,Evening,3,3,Tv,yes,Previous Campaign,2014-06-18,4
ID00000672,Email,Evening,3,6,Computer,yes,Previous Campaign,2014-12-12,4
ID00000677,SMS,Evening,3,5,Electronic,yes,Inbound call,2014-11-16,4
ID00000705,Email,Morning,6,5,Electronic,yes,SMS,2014-11-27,6
ID00000706,SMS,Morning,2,5,Electronic,yes,SMS,2014-11-18,4
ID00000709,Call,Afternoon,2,2,Computer,yes,Inbound call,2014-03-24,6
ID00000722,Email,Evening,2,3,Tv,yes,Previous Campaign,2014-06-23,5
ID00000728,Email,Morning,3,5,Electronic,yes,Previous Campaign,2014-11-19,6
ID00000752,Email,Evening,1,6,Computer,yes,SMS,2014-12-22,5
ID00000767,Call,Morning,2,5,Electronic,yes,Previous Campaign,2014-09-29,6
ID00000772,Email,Morning,1,2,Computer,yes,Inbound call,2014-04-17,6
ID00000776,SMS,Morning,2,5,Electronic,yes,SMS,2014-10-31,6
ID00000783,Email,Evening,5,5,Electronic,yes,Inbound call,2014-10-26,6
ID00000794,Call,Afternoon,6,6,Computer,yes,SMS,2014-12-17,6
ID00000800,Email,Evening,5,3,Tv,yes,Inbound call,2014-06-21,4
ID00000805,SMS,Morning,5,3,Tv,yes,Previous Campaign,2014-06-19,4
ID00000822,Call,Morning,3,2,Computer,yes,Inbound call,2014-10-04,6
ID00000841,SMS,Morning,5,4,Tv,yes,Inbound call,2014-09-15,6
ID00000847,SMS,Evening,3,6,Computer,yes,Previous Campaign,2014-12-12,5
ID00000852,Call,Morning,3,6,Computer,yes,Previous Campaign,2014-12-26,4
ID00000860,Call,Morning,3,5,Electronic,yes,Previous Campaign,2014-11-11,6
ID00000867,Call,Evening,4,3,Tv,yes,Inbound call,2014-01-06,4
ID00000872,SMS,Evening,3,5,Electronic,yes,Previous Campaign,2014-10-25,5
ID00000880,SMS,Evening,2,3,Tv,yes,SMS,2014-06-30,6
ID00000889,Email,Morning,1,4,Tv,yes,SMS,2014-06-07,5
ID00000925,Email,Afternoon,2,4,Tv,yes,Inbound call,2014-09-15,4
ID00000928,Call,Evening,7,2,Computer,yes,Inbound call,2014-03-28,5
ID00000938,Email,Evening,6,4,Tv,yes,SMS,2014-07-23,6
ID00000940,SMS,Evening,1,2,Computer,yes,Inbound call,2014-01-04,5
ID00000941,Email,Morning,6,4,Tv,yes,SMS,2014-12-09,6
ID00000953,SMS,Afternoon,3,3,Tv,yes,SMS,2014-06-21,6
ID00000963,Call,Evening,3,4,Tv,yes,Inbound call,2014-03-08,4
ID00000973,SMS,Morning,2,5,Electronic,yes,SMS,2014-12-11,5
ID00001038,SMS,Evening,2,5,Electronic,yes,SMS,2014-04-11,4
ID00001040,Email,Morning,3,5,Electronic,yes,Inbound call,2014-02-12,6
ID00001045,SMS,Evening,5,4,Tv,yes,Previous Campaign,2014-07-14,6
ID00001054,SMS,Morning,1,4,Tv,yes,SMS,2014-07-24,4
ID00001059,Call,Morning,6,3,Tv,yes,SMS,2014-06-26,6
ID00001066,Email,Evening,6,3,Tv,yes,Previous Campaign,2014-06-06,6
ID00001096,Call,Evening,6,3,Tv,yes,SMS,2014-05-31,6
ID00001097,Call,Morning,3,6,Computer,yes,Inbound call,2014-12-30,6
ID00001114,Email,Evening,7,2,Computer,yes,SMS,2014-03-22,4
ID00001121,Call,Afternoon,3,6,Computer,yes,SMS,2014-12-28,6
ID00001123,Email,Afternoon,7,4,Tv,yes,Inbound call,2014-07-22,4
ID00001129,SMS,Morning,4,2,Computer,yes,Inbound call,2014-04-30,4
ID00001138,Call,Evening,2,4,Tv,yes,SMS,2014-05-09,5
ID00001146,SMS,Afternoon,3,2,Computer,yes,SMS,2014-05-22,5
ID00001166,Email,Evening,5,2,Computer,yes,Inbound call,2014-03-31,5
ID00001169,Call,Evening,1,2,Computer,yes,Inbound call,2014-05-13,5
ID00001172,Call,Afternoon,4,6,Computer,yes,Previous Campaign,2014-12-25,5
ID00001185,Call,Afternoon,5,3,Tv,yes,Previous Campaign,2014-06-23,5
ID00001191,SMS,Evening,2,4,Tv,yes,SMS,2014-07-15,6
ID00001197,Call,Afternoon,2,3,Tv,yes,SMS,2014-06-22,4
ID00001213,Email,Morning,1,5,Electronic,yes,SMS,2014-07-11,5
ID00001218,Email,Morning,6,3,Tv,yes,SMS,2014-12-06,4
ID00001235,Call,Morning,2,4,Tv,yes,Inbound call,2014-11-07,4
ID00001241,Email,Evening,7,6,Computer,yes,SMS,2014-12-30,4
ID00001245,SMS,Evening,2,2,Computer,yes,SMS,2014-04-21,6
ID00001262,Email,Morning,3,2,Computer,yes,Inbound call,2014-05-04,6
ID00001263,SMS,Evening,2,3,Tv,yes,Inbound call,2014-05-31,5
ID00001268,Call,Evening,1,4,Tv,yes,Previous Campaign,2014-12-08,6
ID00001297,SMS,Afternoon,1,5,Electronic,yes,SMS,2014-10-26,4
ID00001299,SMS,Afternoon,4,6,Computer,yes,Inbound call,2014-06-12,4
ID00001304,SMS,Morning,4,6,Computer,yes,SMS,2014-05-12,6
ID00001309,SMS,Afternoon,4,5,Electronic,yes,Previous Campaign,2014-10-17,6
ID00001315,Email,Morning,4,2,Computer,yes,Inbound call,2014-08-04,5
ID00001328,Call,Afternoon,3,2,Computer,yes,SMS,2014-04-20,6
ID00001337,SMS,Morning,5,4,Tv,yes,Previous Campaign,2014-08-09,6
ID00001344,Email,Evening,4,6,Computer,yes,Previous Campaign,2014-12-30,5
ID00001345,Call,Afternoon,1,5,Electronic,yes,SMS,2014-10-25,5
ID00001349,Call,Afternoon,5,3,Tv,yes,Previous Campaign,2014-01-06,4
ID00001356,Call,Afternoon,7,3,Tv,yes,Inbound call,2014-08-06,5
ID00001360,SMS,Morning,3,6,Computer,yes,Inbound call,2014-12-20,4
ID00001361,SMS,Morning,7,6,Computer,yes,SMS,2014-12-25,5
ID00001384,SMS,Evening,6,5,Electronic,yes,Previous Campaign,2014-07-11,4
ID00001392,Call,Afternoon,7,5,Electronic,yes,Inbound call,2014-11-14,6
ID00001395,Email,Evening,2,3,Tv,yes,SMS,2014-06-13,4
ID00001399,SMS,Evening,6,5,Electronic,yes,Inbound call,2014-09-10,6
ID00001403,Email,Morning,3,5,Electronic,yes,Inbound call,2014-09-30,5
ID00001405,SMS,Morning,4,5,Electronic,yes,SMS,2014-10-15,4
ID00001417,Email,Morning,3,5,Electronic,yes,Previous Campaign,2014-10-13,6
ID00001418,Call,Morning,4,4,Tv,yes,Inbound call,2014-07-13,5
ID00001423,Call,Evening,1,2,Computer,yes,Previous Campaign,2014-03-25,5
ID00001431,Email,Morning,5,5,Electronic,yes,Inbound call,2014-10-13,6
ID00001434,SMS,Afternoon,4,6,Computer,yes,SMS,2014-12-29,5
ID00001448,SMS,Morning,1,5,Electronic,yes,Inbound call,2014-06-11,6
ID00001453,SMS,Morning,7,5,Electronic,yes,SMS,2014-10-27,6
ID00001456,SMS,Afternoon,2,5,Electronic,yes,Inbound call,2014-03-10,6
ID00001484,SMS,Morning,1,5,Electronic,yes,SMS,2014-10-27,5
ID00001488,SMS,Morning,5,2,Computer,yes,Previous Campaign,2014-03-23,6
ID00001496,SMS,Morning,3,2,Computer,yes,SMS,2014-03-24,5
ID00001521,Call,Afternoon,5,4,Tv,yes,Previous Campaign,2014-07-24,6
ID00001528,Call,Afternoon,3,6,Computer,yes,Previous Campaign,2014-12-18,5
ID00001533,Call,Morning,1,5,Electronic,yes,Inbound call,2014-10-25,4
ID00001538,SMS,Evening,6,2,Computer,yes,SMS,2014-03-28,5
ID00001547,SMS,Evening,4,6,Computer,yes,Previous Campaign,2014-12-19,4
ID00001557,SMS,Morning,2,6,Computer,yes,Previous Campaign,2014-12-13,4
ID00001562,Call,Morning,2,4,Tv,yes,SMS,2014-07-14,5
ID00001580,Email,Evening,3,3,Tv,yes,SMS,2014-06-15,4
ID00001585,Call,Evening,2,5,Electronic,yes,Previous Campaign,2014-10-17,5
ID00001589,Call,Morning,3,6,Computer,yes,SMS,2014-12-26,4
ID00001599,Call,Evening,3,2,Computer,yes,Inbound call,2014-04-17,5
ID00001619,SMS,Evening,5,2,Computer,yes,Previous Campaign,2014-05-14,4
ID00001624,Call,Afternoon,7,6,Computer,yes,Previous Campaign,2014-12-24,5
ID00001626,Call,Morning,4,3,Tv,yes,Inbound call,2014-05-30,5
ID00001640,Email,Afternoon,1,3,Tv,yes,Previous Campaign,2014-09-06,6
ID00001641,Email,Afternoon,7,5,Electronic,yes,SMS,2014-11-16,4
ID00001646,Email,Evening,3,4,Tv,yes,Previous Campaign,2014-07-08,4
ID00001656,SMS,Evening,3,5,Electronic,yes,Inbound call,2014-08-11,5
ID00001670,Email,Morning,4,2,Computer,yes,Inbound call,2014-04-18,6
ID00001689,Email,Afternoon,7,3,Tv,yes,SMS,2014-12-06,5
ID00001713,Email,Morning,6,3,Tv,yes,Inbound call,2014-06-29,4
ID00001725,Call,Evening,5,4,Tv,yes,SMS,2014-09-07,5
ID00001728,Call,Evening,1,6,Computer,yes,SMS,2014-12-19,5
ID00001733,Email,Morning,1,2,Computer,yes,Previous Campaign,2014-09-04,4
ID00001738,Call,Morning,1,6,Computer,yes,Inbound call,2014-12-12,5
ID00001739,Email,Evening,3,5,Electronic,yes,SMS,2014-10-23,6
ID00001744,Call,Morning,3,3,Tv,yes,Inbound call,2014-06-13,6
ID00001769,SMS,Morning,7,4,Tv,yes,Inbound call,2014-07-24,6
ID00001781,Email,Evening,1,2,Computer,yes,SMS,2014-11-05,6
ID00001790,SMS,Morning,7,3,Tv,yes,Inbound call,2014-07-06,6
ID00001816,Call,Morning,2,4,Tv,yes,SMS,2014-11-07,4
ID00001838,Call,Morning,6,3,Tv,yes,Previous Campaign,2014-06-21,4
ID00001842,SMS,Evening,4,2,Computer,yes,SMS,2014-03-21,4
ID00001846,Email,Afternoon,7,4,Tv,yes,Previous Campaign,2014-11-07,6
ID00001868,Call,Evening,3,2,Computer,yes,Previous Campaign,2014-05-17,4
ID00001894,Call,Morning,2,5,Electronic,yes,Previous Campaign,2014-04-10,5
ID00001900,Email,Morning,4,5,Electronic,yes,SMS,2014-03-12,5
ID00001909,Call,Afternoon,5,3,Tv,yes,Inbound call,2014-06-13,6
ID00001931,Call,Afternoon,4,2,Computer,yes,Inbound call,2014-03-24,6
ID00001944,Call,Morning,5,2,Computer,yes,Previous Campaign,2014-07-04,4
ID00001945,Email,Morning,2,6,Computer,yes,Inbound call,2014-06-12,5
ID00001974,SMS,Evening,3,4,Tv,yes,Inbound call,2014-07-28,4
ID00001976,Call,Morning,2,6,Computer,yes,Previous Campaign,2014-12-30,5
ID00001983,Call,Morning,1,2,Computer,yes,Previous Campaign,2014-04-05,6
ID00001991,Call,Evening,6,3,Tv,yes,Previous Campaign,2014-06-18,6
ID00001992,SMS,Morning,6,5,Electronic,yes,Previous Campaign,2014-06-10,4
ID00002019,Email,Morning,1,3,Tv,yes,Previous Campaign,2014-05-06,6
ID00002026,SMS,Evening,4,5,Electronic,yes,Previous Campaign,2014-02-12,5
ID00002042,Call,Afternoon,3,5,Electronic,yes,SMS,2014-08-11,5
ID00002048,SMS,Evening,2,5,Electronic,yes,Inbound call,2014-11-13,5
ID00002078,SMS,Morning,4,3,Tv,yes,Inbound call,2014-02-06,4
ID00002087,Email,Evening,7,2,Computer,yes,Inbound call,2014-04-24,5
ID00002091,Call,Morning,3,2,Computer,yes,Previous Campaign,2014-04-22,6
ID00002092,SMS,Morning,3,2,Computer,yes,Previous Campaign,2014-04-29,4
ID00002094,Email,Afternoon,7,4,Tv,yes,Previous Campaign,2014-07-09,4
ID00002101,Call,Morning,7,4,Tv,yes,SMS,2014-09-09,4
ID00002105,Email,Evening,2,5,Electronic,yes,SMS,2014-04-12,5
ID00002110,Email,Afternoon,7,5,Electronic,yes,Previous Campaign,2014-06-10,5
ID00002118,Call,Morning,4,4,Tv,yes,Inbound call,2014-08-26,4
ID00002119,Email,Afternoon,2,4,Tv,yes,SMS,2014-07-26,5
ID00002125,Email,Evening,2,2,Computer,yes,SMS,2014-10-04,4
ID00002126,Call,Morning,2,3,Tv,yes,Inbound call,2014-06-14,4
ID00002145,Call,Morning,2,3,Tv,yes,Previous Campaign,2014-06-28,5
ID00002165,SMS,Afternoon,1,3,Tv,yes,Inbound call,2014-06-24,5
ID00002169,SMS,Evening,1,6,Computer,yes,Previous Campaign,2014-12-31,5
ID00002175,SMS,Evening,5,6,Computer,yes,Inbound call,2014-12-20,4
ID00002179,Call,Morning,3,5,Electronic,yes,Previous Campaign,2014-05-10,5
ID00002188,SMS,Evening,6,3,Tv,yes,Previous Campaign,2014-05-06,4
ID00002190,Email,Afternoon,1,5,Electronic,yes,Previous Campaign,2014-12-11,5
ID00002196,Call,Morning,6,2,Computer,yes,Inbound call,2014-03-24,6
ID00002200,Email,Afternoon,3,5,Electronic,yes,Previous Campaign,2014-10-14,4
ID00002202,Call,Afternoon,4,3,Tv,yes,SMS,2014-09-06,4
ID00002203,Call,Evening,6,2,Computer,yes,Inbound call,2014-10-05,4
ID00002211,Email,Morning,4,6,Computer,yes,Previous Campaign,2014-12-30,4
ID00002212,SMS,Evening,5,6,Computer,yes,SMS,2014-12-24,6
ID00002217,Call,Evening,7,4,Tv,yes,SMS,2014-08-24,6
ID00002251,Email,Morning,3,4,Tv,yes,SMS,2014-08-13,5
ID00002271,SMS,Evening,7,5,Electronic,yes,Inbound call,2014-12-10,6
ID00002289,Email,Evening,3,5,Electronic,yes,Previous Campaign,2014-11-20,6
ID00002298,SMS,Morning,3,4,Tv,yes,Inbound call,2014-08-13,4
ID00002300,Call,Morning,2,3,Tv,yes,Previous Campaign,2014-06-21,6
ID00002317,Email,Evening,5,4,Tv,yes,Previous Campaign,2014-09-22,5
ID00002319,Call,Morning,2,4,Tv,yes,Previous Campaign,2014-11-09,4
ID00002325,Email,Morning,6,4,Tv,yes,SMS,2014-02-09,4
ID00002329,Call,Afternoon,1,5,Electronic,yes,Inbound call,2014-01-11,4
ID00002331,Call,Morning,4,5,Electronic,yes,SMS,2014-08-11,5
ID00002337,Email,Morning,3,2,Computer,yes,Inbound call,2014-06-04,5
ID00002369,Email,Morning,7,2,Computer,yes,SMS,2014-03-24,4
ID00002373,SMS,Morning,1,5,Electronic,yes,Previous Campaign,2014-10-27,6
ID00002377,Call,Morning,5,3,Tv,yes,SMS,2014-06-15,5
ID00002400,Call,Evening,5,2,Computer,yes,Previous Campaign,2014-04-17,4
ID00002416,Email,Afternoon,4,6,Computer,yes,SMS,2014-12-24,6
ID00002420,Call,Evening,1,5,Electronic,yes,Inbound call,2014-11-15,5
ID00002436,Email,Evening,5,5,Electronic,yes,SMS,2014-10-15,4
ID00002442,Call,Evening,2,4,Tv,yes,Previous Campaign,2014-11-09,4
ID00002452,Email,Morning,1,2,Computer,yes,Inbound call,2014-04-16,4
ID00002467,SMS,Morning,3,3,Tv,yes,Previous Campaign,2014-05-27,4
ID00002472,Call,Evening,4,5,Electronic,yes,Previous Campaign,2014-10-28,4
ID00002480,SMS,Evening,7,2,Computer,yes,Previous Campaign,2014-04-18,5
ID00002483,Call,Morning,2,6,Computer,yes,Inbound call,2014-12-30,6
ID00002495,SMS,Morning,5,2,Computer,yes,Previous Campaign,2014-04-21,5
ID00002498,SMS,Evening,4,5,Electronic,yes,Previous Campaign,2014-11-14,6
ID00002504,Email,Afternoon,2,2,Computer,yes,Inbound call,2014-05-17,6
ID00002524,Email,Afternoon,1,5,Electronic,yes,Inbound call,2014-08-10,5
ID00002529,SMS,Afternoon,1,4,Tv,yes,Inbound call,2014-09-16,6
ID00002539,SMS,Morning,7,3,Tv,yes,SMS,2014-06-13,5
ID00002554,Email,Evening,2,4,Tv,yes,Previous Campaign,2014-08-16,5
ID00002582,Call,Morning,3,6,Computer,yes,Inbound call,2014-12-19,6
ID00002591,SMS,Evening,6,5,Electronic,yes,Previous Campaign,2014-10-16,5
ID00002616,Call,Evening,6,5,Electronic,yes,Inbound call,2014-06-10,4
ID00002618,Email,Afternoon,4,2,Computer,yes,SMS,2014-04-28,4
ID00002630,Email,Evening,4,3,Tv,yes,SMS,2014-06-22,5
ID00002635,Call,Morning,6,5,Electronic,yes,SMS,2014-09-29,4
ID00002639,Call,Morning,2,5,Electronic,yes,Inbound call,2014-02-11,4
ID00002650,SMS,Afternoon,4,6,Computer,yes,Previous Campaign,2014-12-20,6
ID00002673,SMS,Afternoon,2,5,Electronic,yes,Inbound call,2014-10-23,4
ID00002674,Call,Morning,3,3,Tv,yes,SMS,2014-06-20,5
ID00002693,Call,Evening,4,3,Tv,yes,Inbound call,2014-05-28,4
ID00002704,Call,Morning,5,6,Computer,yes,SMS,2014-12-13,5
ID00002711,Email,Afternoon,3,5,Electronic,yes,Inbound call,2014-04-10,5
ID00002725,Email,Evening,4,4,Tv,yes,Inbound call,2014-09-13,6
ID00002729,Email,Evening,6,5,Electronic,yes,Inbound call,2014-10-30,5
ID00002741,Email,Morning,3,3,Tv,yes,Previous Campaign,2014-06-06,5
ID00002744,SMS,Afternoon,3,4,Tv,yes,Previous Campaign,2014-07-15,6
ID00002747,SMS,Evening,6,5,Electronic,yes,SMS,2014-11-19,4
ID00002759,SMS,Morning,2,2,Computer,yes,Inbound call,2014-05-19,4
ID00002763,Call,Evening,4,3,Tv,yes,SMS,2014-03-06,5
ID00002788,Email,Afternoon,3,5,Electronic,yes,Previous Campaign,2014-09-27,6
ID00002791,SMS,Morning,4,2,Computer,yes,Previous Campaign,2014-11-04,4
ID00002804,SMS,Morning,4,3,Tv,yes,Inbound call,2014-05-06,5
ID00002822,Call,Morning,4,2,Computer,yes,Inbound call,2014-04-19,4
ID00002823,SMS,Morning,4,2,Computer,yes,SMS,2014-05-15,6
ID00002830,Email,Evening,3,5,Electronic,yes,Inbound call,2014-11-26,5
ID00002840,Call,Morning,6,5,Electronic,yes,SMS,2014-10-22,6
ID00002850,Call,Afternoon,3,2,Computer,yes,Inbound call,2014-03-25,6
ID00002856,Call,Evening,4,3,Tv,yes,Previous Campaign,2014-11-06,5
ID00002862,SMS,Morning,4,5,Electronic,yes,Previous Campaign,2014-08-11,6
ID00002870,SMS,Morning,7,5,Electronic,yes,SMS,2014-11-19,5
ID00002872,SMS,Morning,3,5,Electronic,yes,Previous Campaign,2014-06-10,5
ID00002884,Call,Afternoon,3,2,Computer,yes,SMS,2014-12-05,4
ID00002885,SMS,Morning,2,3,Tv,yes,Inbound call,2014-06-22,6
ID00002888,SMS,Morning,5,6,Computer,yes,SMS,2014-12-19,5
ID00002892,SMS,Morning,2,6,Computer,yes,Previous Campaign,2014-12-28,4
ID00002901,SMS,Afternoon,6,6,Computer,yes,SMS,2014-09-12,5
ID00002906,Call,Morning,7,3,Tv,yes,Previous Campaign,2014-10-06,6
ID00002908,SMS,Afternoon,3,2,Computer,yes,Previous Campaign,2014-12-04,4
ID00002939,Call,Evening,5,2,Computer,yes,Inbound call,2014-02-05,6
ID00002945,Email,Afternoon,1,3,Tv,yes,Inbound call,2014-05-26,4
ID00002952,SMS,Evening,4,6,Computer,yes,Previous Campaign,2014-12-15,5
ID00002954,Call,Afternoon,1,5,Electronic,yes,Inbound call,2014-10-30,6
ID00002958,Call,Evening,3,5,Electronic,yes,Previous Campaign,2014-10-30,4
ID00002962,Call,Morning,1,5,Electronic,yes,SMS,2014-04-12,6
ID00002969,SMS,Afternoon,1,4,Tv,yes,SMS,2014-09-21,6
ID00002971,Call,Afternoon,7,3,Tv,yes,Inbound call,2014-06-25,6
ID00002973,Email,Afternoon,3,4,Tv,yes,Inbound call,2014-09-21,6
ID00002980,Call,Morning,1,5,Electronic,yes,Previous Campaign,2014-10-31,4
ID00002992,Email,Afternoon,3,3,Tv,yes,SMS,2014-05-28,6
ID00002996,Email,Evening,5,4,Tv,yes,Inbound call,2014-09-26,5
ID00003000,Email,Morning,3,4,Tv,yes,SMS,2014-09-26,4
ID00003025,SMS,Morning,4,3,Tv,yes,Inbound call,2014-06-06,6
ID00003034,Call,Evening,7,6,Computer,yes,SMS,2014-05-12,5
ID00003049,SMS,Afternoon,2,2,Computer,yes,Inbound call,2014-05-16,6
ID00003059,Call,Evening,2,6,Computer,yes,SMS,2014-12-14,6
ID00003063,SMS,Morning,1,2,Computer,yes,Inbound call,2014-04-15,4
ID00003073,Email,Morning,3,3,Tv,yes,Inbound call,2014-06-22,6
ID00003100,SMS,Morning,2,2,Computer,yes,Previous Campaign,2014-01-05,5
ID00003107,Email,Morning,3,5,Electronic,yes,Inbound call,2014-11-13,5
ID00003110,SMS,Afternoon,3,6,Computer,yes,Previous Campaign,2014-12-13,5
ID00003112,Call,Evening,5,4,Tv,yes,Inbound call,2014-09-09,6
ID00003146,SMS,Afternoon,4,6,Computer,yes,Inbound call,2014-12-14,5
ID00003159,Email,Morning,3,4,Tv,yes,Previous Campaign,2014-06-07,6
ID00003162,SMS,Afternoon,4,6,Computer,yes,Previous Campaign,2014-12-25,6
ID00003212,SMS,Morning,3,2,Computer,yes,SMS,2014-03-29,4
ID00003219,Call,Evening,5,6,Computer,yes,SMS,2014-12-24,6
ID00003224,Call,Afternoon,4,3,Tv,yes,SMS,2014-08-06,4
ID00003230,Email,Morning,5,3,Tv,yes,Inbound call,2014-05-28,6
ID00003242,Email,Morning,6,2,Computer,yes,Previous Campaign,2014-06-05,5
ID00003243,Email,Morning,7,4,Tv,yes,SMS,2014-07-17,4
ID00003293,Email,Morning,2,6,Computer,yes,Previous Campaign,2014-12-21,5
ID00003298,Email,Afternoon,3,3,Tv,yes,Inbound call,2014-05-29,6
ID00003301,Email,Evening,6,5,Electronic,yes,SMS,2014-10-30,5
ID00003304,SMS,Morning,4,4,Tv,yes,Previous Campaign,2014-08-31,5
ID00003309,SMS,Evening,1,4,Tv,yes,Inbound call,2014-09-26,5
ID00003326,Call,Evening,2,4,Tv,yes,Previous Campaign,2014-07-13,6
ID00003330,SMS,Evening,5,6,Computer,yes,SMS,2014-12-23,4
ID00003341,SMS,Morning,7,2,Computer,yes,SMS,2014-04-20,6
ID00003369,Email,Morning,7,5,Electronic,yes,SMS,2014-02-11,5
ID00003370,Call,Morning,7,2,Computer,yes,Inbound call,2014-03-30,6
